epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1292.42,1.62401,2.71243,1.40663,0.13467,0.30599,0.1685,0.08375,1.6637,3.50996,1.49486,0.000473672,0.000473672,0.000473672
2,2977.8,1.70936,2.08174,1.49354,0.30307,0.25005,0.26627,0.11645,1.842,2.03222,1.62608,0.000931195,0.000931195,0.000931195
3,4401.1,1.71606,1.81828,1.51267,0.91332,0.21792,0.26562,0.12,1.81464,1.83032,1.6505,0.00136986,0.00136986,0.00136986
4,43019.7,1.72076,1.68512,1.52897,0.28128,0.27657,0.27999,0.13562,1.69601,1.74759,1.54009,0.00134412,0.00134412,0.00134412
5,44075.7,1.72324,1.60532,1.52574,0.29842,0.40954,0.35277,0.17277,1.6371,1.50863,1.4797,0.00131582,0.00131582,0.00131582
6,46096.9,1.65146,1.49319,1.47496,0.49066,0.37308,0.38098,0.18055,1.69564,1.42981,1.55131,0.00128753,0.00128753,0.00128753
7,48629.2,1.64685,1.45241,1.4601,0.60326,0.43198,0.47536,0.22578,1.67425,1.32581,1.52389,0.00125923,0.00125923,0.00125923
8,49857.7,1.62481,1.39655,1.44407,0.39355,0.51235,0.43611,0.19363,1.65882,1.47722,1.47932,0.00123094,0.00123094,0.00123094
9,50928.2,1.61194,1.34169,1.43299,0.5704,0.42638,0.49129,0.24358,1.60235,1.3061,1.46703,0.00120265,0.00120265,0.00120265
10,51884.3,1.58341,1.29846,1.41437,0.43983,0.37996,0.4202,0.2142,1.58576,1.22724,1.42707,0.00117435,0.00117435,0.00117435
11,52984.9,1.55677,1.27457,1.40408,0.56463,0.55314,0.56529,0.29128,1.58809,1.11572,1.45459,0.00114606,0.00114606,0.00114606
12,53678.1,1.53166,1.22423,1.38956,0.63446,0.60301,0.64093,0.3502,1.55199,1.10096,1.41677,0.00111776,0.00111776,0.00111776
13,54441.3,1.52765,1.19098,1.37911,0.6865,0.70455,0.71363,0.40532,1.54364,0.99465,1.39321,0.00108947,0.00108947,0.00108947
14,55212.1,1.51562,1.17394,1.36108,0.81521,0.69709,0.75721,0.46329,1.52032,1.0198,1.38926,0.00106118,0.00106118,0.00106118
15,55989.5,1.51023,1.16971,1.37931,0.6907,0.65565,0.69912,0.37669,1.51461,1.02827,1.39026,0.00103288,0.00103288,0.00103288
16,56751.4,1.52185,1.16459,1.38196,0.67535,0.69154,0.70616,0.40548,1.51649,1.05132,1.35681,0.00100459,0.00100459,0.00100459
17,57526.7,1.48163,1.10404,1.34083,0.75537,0.64995,0.72868,0.43393,1.50746,0.94757,1.36662,0.000976293,0.000976293,0.000976293
18,58316.3,1.46325,1.06125,1.33691,0.65278,0.71501,0.69916,0.40751,1.50975,0.98049,1.35372,0.000947999,0.000947999,0.000947999
19,59107.1,1.4813,1.05636,1.3394,0.73292,0.69279,0.7348,0.42486,1.51076,0.91992,1.36343,0.000919704,0.000919704,0.000919704
20,59891.4,1.46362,1.04403,1.33354,0.74742,0.72229,0.76886,0.44839,1.50953,0.90371,1.37375,0.00089141,0.00089141,0.00089141
21,60745,1.45911,1.03625,1.33323,0.73914,0.6684,0.73513,0.43005,1.48949,0.9153,1.33943,0.000863116,0.000863116,0.000863116
22,61589.2,1.44376,1.01915,1.32819,0.82786,0.61888,0.76217,0.47081,1.49067,0.93425,1.34664,0.000834822,0.000834822,0.000834822
23,62836.1,1.44881,1.00029,1.30324,0.73518,0.7261,0.79401,0.48952,1.46468,0.87942,1.31736,0.000806528,0.000806528,0.000806528
24,64135,1.41706,1.00479,1.3093,0.73396,0.73819,0.77352,0.48618,1.45126,0.88312,1.31923,0.000778233,0.000778233,0.000778233
25,65356.9,1.42669,0.98355,1.31258,0.78873,0.81719,0.80102,0.48272,1.47838,0.83522,1.33407,0.000749939,0.000749939,0.000749939
26,66199.9,1.42111,0.95815,1.29311,0.81293,0.71001,0.7807,0.49103,1.47267,0.86354,1.32793,0.000721645,0.000721645,0.000721645
27,66961.2,1.39988,0.95312,1.29319,0.65492,0.86133,0.79941,0.5098,1.45151,0.85342,1.32249,0.000693351,0.000693351,0.000693351
28,67769.3,1.39343,0.94442,1.28939,0.75163,0.77125,0.77461,0.49056,1.45278,0.81596,1.31713,0.000665057,0.000665057,0.000665057
29,68575.7,1.36896,0.90409,1.2808,0.83905,0.76951,0.81048,0.53563,1.4596,0.80749,1.31862,0.000636762,0.000636762,0.000636762
30,69379.7,1.37294,0.92485,1.27376,0.78112,0.75797,0.80566,0.53469,1.4392,0.80394,1.30642,0.000608468,0.000608468,0.000608468
31,70177.3,1.37072,0.88991,1.27445,0.80052,0.8023,0.82062,0.53212,1.42515,0.82537,1.30237,0.000580174,0.000580174,0.000580174
32,70926.2,1.38076,0.88681,1.26437,0.80917,0.76904,0.81269,0.52735,1.43337,0.79536,1.29617,0.00055188,0.00055188,0.00055188
33,71691.9,1.34819,0.88922,1.2582,0.7687,0.7859,0.81594,0.54562,1.41924,0.7955,1.28161,0.000523586,0.000523586,0.000523586
34,72431.8,1.33638,0.85377,1.25287,0.82926,0.78988,0.8177,0.54171,1.40352,0.76181,1.2914,0.000495291,0.000495291,0.000495291
35,73165.6,1.34169,0.85349,1.24641,0.83891,0.72326,0.80377,0.53471,1.4209,0.77506,1.28634,0.000466997,0.000466997,0.000466997
36,73905.2,1.32822,0.848,1.2427,0.81778,0.79175,0.84722,0.55931,1.42181,0.75627,1.29511,0.000438703,0.000438703,0.000438703
37,75023.8,1.3346,0.8467,1.25102,0.77606,0.8359,0.83043,0.54044,1.40741,0.75448,1.27902,0.000410409,0.000410409,0.000410409
38,76148.3,1.30168,0.81549,1.22936,0.80398,0.8246,0.8564,0.56834,1.41222,0.75157,1.29225,0.000382115,0.000382115,0.000382115
39,77327.9,1.31536,0.83128,1.23759,0.86236,0.80318,0.83042,0.56783,1.40878,0.75533,1.28033,0.00035382,0.00035382,0.00035382
40,78766.9,1.31287,0.82502,1.24585,0.83488,0.80651,0.84285,0.57529,1.41741,0.72598,1.2903,0.000325526,0.000325526,0.000325526
41,80081.4,1.28778,0.70594,1.21685,0.81863,0.79371,0.83446,0.56682,1.414,0.73937,1.28601,0.000297232,0.000297232,0.000297232
42,81381.5,1.28914,0.69168,1.21181,0.82256,0.79547,0.85352,0.59239,1.37495,0.73069,1.26696,0.000268938,0.000268938,0.000268938
43,82364.3,1.26364,0.67988,1.20247,0.82511,0.81146,0.84926,0.58091,1.38781,0.74144,1.27198,0.000240644,0.000240644,0.000240644
44,83441.5,1.25302,0.67031,1.1972,0.83611,0.79785,0.8552,0.58521,1.37145,0.72865,1.26289,0.000212349,0.000212349,0.000212349
45,84549,1.24823,0.6646,1.19668,0.83229,0.815,0.86341,0.59335,1.38084,0.71598,1.26997,0.000184055,0.000184055,0.000184055
46,85568.4,1.23377,0.65338,1.18282,0.85031,0.81148,0.86137,0.58896,1.378,0.7059,1.26863,0.000155761,0.000155761,0.000155761
47,86670,1.22311,0.64435,1.17559,0.79932,0.83457,0.84909,0.58206,1.38096,0.70632,1.26925,0.000127467,0.000127467,0.000127467
48,87818.1,1.21431,0.64453,1.17189,0.80282,0.81555,0.86093,0.5966,1.372,0.70972,1.26731,9.91726e-05,9.91726e-05,9.91726e-05
49,89055.3,1.2005,0.63446,1.16388,0.83463,0.79691,0.84547,0.58892,1.37536,0.70309,1.26732,7.08784e-05,7.08784e-05,7.08784e-05
50,134977,1.19569,0.63247,1.1598,0.79431,0.81186,0.84329,0.58753,1.36617,0.70349,1.26497,4.25842e-05,4.25842e-05,4.25842e-05
